[04May2025 00:37:20.878] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forge_server, nogui]
[04May2025 00:37:20.887] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Ubuntu OpenJDK 64-Bit Server VM 21.0.6+7-Ubuntu-120.04.1
[04May2025 00:37:20.891] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.2.1 starting: java version 21.0.6 by Ubuntu; OS Linux arch amd64 version 6.8.0-1026-azure
[04May2025 00:37:21.115] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forge_server
[04May2025 00:37:21.726] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=jar:file:///workspaces/NuevoServer/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.7/mixin-0.8.7.jar!/ Service=ModLauncher Env=SERVER
[04May2025 00:37:22.565] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[04May2025 00:37:24.563] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forge_server' with arguments [nogui]
[04May2025 00:37:25.430] [main/WARN] [oshi.util.FileUtil/]: Configuration conflict: there is more than one oshi.properties file on the classpath: [jar:file:///workspaces/NuevoServer/servidor_minecraft/libraries/com/github/oshi/oshi-core/6.4.10/oshi-core-6.4.10.jar!/oshi.properties, jar:file:/workspaces/NuevoServer/servidor_minecraft/libraries/com/github/oshi/oshi-core/6.4.10/oshi-core-6.4.10.jar!/oshi.properties, jar:file:///workspaces/NuevoServer/servidor_minecraft/libraries/com/github/oshi/oshi-core/6.4.10/oshi-core-6.4.10.jar!/oshi.properties, jar:file:/workspaces/NuevoServer/servidor_minecraft/libraries/com/github/oshi/oshi-core/6.4.10/oshi-core-6.4.10.jar!/oshi.properties]
[04May2025 00:37:25.636] [main/WARN] [oshi.util.FileUtil/]: Configuration conflict: there is more than one oshi.architecture.properties file on the classpath: [jar:file:///workspaces/NuevoServer/servidor_minecraft/libraries/com/github/oshi/oshi-core/6.4.10/oshi-core-6.4.10.jar!/oshi.architecture.properties, jar:file:/workspaces/NuevoServer/servidor_minecraft/libraries/com/github/oshi/oshi-core/6.4.10/oshi-core-6.4.10.jar!/oshi.architecture.properties, jar:file:///workspaces/NuevoServer/servidor_minecraft/libraries/com/github/oshi/oshi-core/6.4.10/oshi-core-6.4.10.jar!/oshi.architecture.properties, jar:file:/workspaces/NuevoServer/servidor_minecraft/libraries/com/github/oshi/oshi-core/6.4.10/oshi-core-6.4.10.jar!/oshi.architecture.properties]
[04May2025 00:37:40.695] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 51.0.33, for MC 1.21 with MCP 20240613.102039
[04May2025 00:37:40.702] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v51.0.33 Initialized
[04May2025 00:37:40.746] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Opening jdk.naming.dns/com.sun.jndi.dns to java.naming
[04May2025 00:37:42.838] [Forge Version Check/INFO] [net.minecraftforge.fml.VersionChecker/]: [forge] Starting version check at https://files.minecraftforge.net/net/minecraftforge/forge/promotions_slim.json
[04May2025 00:37:44.162] [Forge Version Check/INFO] [net.minecraftforge.fml.VersionChecker/]: [forge] Found status: BETA Current: 51.0.33 Target: 51.0.33
[04May2025 00:37:46.442] [main/INFO] [com.mojang.authlib.yggdrasil.YggdrasilAuthenticationService/]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[04May2025 00:37:52.511] [main/INFO] [net.minecraft.world.item.crafting.RecipeManager/]: Loaded 1290 recipes
[04May2025 00:37:52.991] [main/INFO] [net.minecraft.advancements.AdvancementTree/]: Loaded 1399 advancements
[04May2025 00:37:54.011] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer/]: Starting minecraft server version 1.21
[04May2025 00:37:54.016] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer/]: Loading properties
[04May2025 00:37:54.016] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer/]: Default game type: SURVIVAL
[04May2025 00:37:54.016] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Generating keypair
[04May2025 00:37:54.368] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer/]: Starting Minecraft server on *:25565
[04May2025 00:37:54.583] [Server thread/INFO] [net.minecraft.server.network.ServerConnectionListener/]: Using epoll channel type
[04May2025 00:37:54.731] [Server thread/WARN] [net.minecraft.server.dedicated.DedicatedServer/]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[04May2025 00:37:54.731] [Server thread/WARN] [net.minecraft.server.dedicated.DedicatedServer/]: The server will make no attempt to authenticate usernames. Beware.
[04May2025 00:37:54.734] [Server thread/WARN] [net.minecraft.server.dedicated.DedicatedServer/]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[04May2025 00:37:54.734] [Server thread/WARN] [net.minecraft.server.dedicated.DedicatedServer/]: To change this, set "online-mode" to "true" in the server.properties file.
[04May2025 00:37:54.959] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer/]: Preparing level "world"
[04May2025 00:37:57.572] [Netty Epoll Server IO #1/INFO] [net.minecraftforge.server.ServerLifecycleHooks/SERVERHOOKS]: [/100.107.13.89:56760] Disconnecting VANILLA connection attempt: Server is still starting! Please wait before reconnecting.
[04May2025 00:37:58.649] [Netty Epoll Server IO #3/INFO] [net.minecraftforge.server.ServerLifecycleHooks/SERVERHOOKS]: [/100.107.13.89:56770] Disconnecting VANILLA connection attempt: Server is still starting! Please wait before reconnecting.
[04May2025 00:38:09.295] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Preparing start region for dimension minecraft:overworld
[04May2025 00:38:10.423] [Worker-Main-1/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener/]: Preparing spawn area: 0%
[04May2025 00:38:10.427] [Worker-Main-1/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener/]: Preparing spawn area: 0%
[04May2025 00:38:10.428] [Worker-Main-1/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener/]: Preparing spawn area: 0%
[04May2025 00:38:11.066] [Server thread/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener/]: Time elapsed: 1770 ms
[04May2025 00:38:11.075] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer/]: Done (16.305s)! For help, type "help"
[04May2025 00:38:11.152] [Server thread/INFO] [net.minecraftforge.server.permission.PermissionAPI/]: Successfully initialized permission handler forge:default_handler
[04May2025 00:38:43.508] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: Jxxnfx[/100.107.13.89:56837] logged in with entity id 1 at (1884.608026712393, 64.0, 839.1554835599438)
[04May2025 00:38:43.594] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Jxxnfx joined the game
[04May2025 00:40:12.811] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Jxxnfx has made the advancement [Take Aim]
[04May2025 00:50:06.601] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 3146ms or 62 ticks behind
[04May2025 00:52:04.471] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=250, y=59, z=82} BlockPos{x=250, y=59, z=83}
[04May2025 00:52:24.665] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=240, y=56, z=85} BlockPos{x=240, y=56, z=86}
[04May2025 00:52:24.719] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=240, y=56, z=85} BlockPos{x=240, y=56, z=86}
[04May2025 00:52:24.771] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=240, y=56, z=85} BlockPos{x=240, y=56, z=86}
[04May2025 00:52:24.816] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=240, y=56, z=85} BlockPos{x=240, y=56, z=86}
[04May2025 00:52:24.869] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=240, y=56, z=85} BlockPos{x=240, y=56, z=86}
[04May2025 00:52:24.916] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=240, y=56, z=85} BlockPos{x=240, y=56, z=86}
[04May2025 00:52:24.970] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=240, y=56, z=85} BlockPos{x=240, y=56, z=86}
[04May2025 00:52:25.018] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=240, y=56, z=85} BlockPos{x=240, y=56, z=86}
[04May2025 00:52:25.072] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=240, y=56, z=85} BlockPos{x=240, y=56, z=86}
[04May2025 00:52:25.118] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=240, y=56, z=85} BlockPos{x=240, y=56, z=86}
[04May2025 00:53:54.817] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=228, y=30, z=34} BlockPos{x=227, y=29, z=33}
[04May2025 01:00:01.741] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Jxxnfx: Gave 1 [Warped Fungus on a Stick] to Jxxnfx]
[04May2025 01:00:05.998] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Jxxnfx: Gave 1 [Warped Fungus on a Stick] to Jxxnfx]
[04May2025 01:00:07.678] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Jxxnfx: Gave 1 [Warped Fungus on a Stick] to Jxxnfx]
[04May2025 01:00:08.984] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Jxxnfx: Gave 1 [Warped Fungus on a Stick] to Jxxnfx]
[04May2025 01:00:11.704] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Jxxnfx: Gave 1 [Warped Fungus on a Stick] to Jxxnfx]
[04May2025 01:02:16.073] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=340, y=33, z=-125} BlockPos{x=339, y=33, z=-126}
[04May2025 01:02:16.124] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=340, y=33, z=-125} BlockPos{x=339, y=33, z=-126}
[04May2025 01:02:16.176] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=340, y=33, z=-125} BlockPos{x=339, y=33, z=-126}
[04May2025 01:02:16.224] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=340, y=33, z=-125} BlockPos{x=339, y=33, z=-126}
[04May2025 01:02:16.276] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=340, y=33, z=-125} BlockPos{x=339, y=33, z=-126}
[04May2025 01:02:16.323] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=340, y=33, z=-125} BlockPos{x=339, y=33, z=-126}
[04May2025 01:02:16.376] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=340, y=33, z=-125} BlockPos{x=339, y=33, z=-126}
[04May2025 01:02:16.424] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=340, y=33, z=-125} BlockPos{x=339, y=33, z=-126}
[04May2025 01:02:16.477] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=340, y=33, z=-125} BlockPos{x=339, y=33, z=-126}
[04May2025 01:02:16.524] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=340, y=33, z=-125} BlockPos{x=339, y=33, z=-126}
[04May2025 01:02:16.573] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=340, y=33, z=-125} BlockPos{x=339, y=33, z=-126}
[04May2025 01:03:44.363] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Jxxnfx has made the advancement [Hidden in the Depths]
[04May2025 01:06:13.077] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=293, y=17, z=-116} BlockPos{x=292, y=17, z=-116}
[04May2025 01:06:13.126] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=293, y=17, z=-116} BlockPos{x=292, y=17, z=-116}
[04May2025 01:06:13.181] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=293, y=17, z=-116} BlockPos{x=292, y=17, z=-116}
[04May2025 01:06:13.230] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=293, y=17, z=-116} BlockPos{x=292, y=17, z=-116}
[04May2025 01:06:13.277] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=293, y=17, z=-116} BlockPos{x=292, y=17, z=-116}
[04May2025 01:06:45.577] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=282, y=20, z=-123} BlockPos{x=282, y=19, z=-123}
[04May2025 01:08:40.440] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Jxxnfx: Gave 64 [Bottle o' Enchanting] to Jxxnfx]
[04May2025 01:11:17.481] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=258, y=14, z=-131} BlockPos{x=258, y=11, z=-131}
[04May2025 01:12:17.232] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=241, y=13, z=-146} BlockPos{x=241, y=13, z=-145}
[04May2025 01:12:17.283] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=241, y=13, z=-146} BlockPos{x=241, y=13, z=-145}
[04May2025 01:12:17.332] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=241, y=13, z=-146} BlockPos{x=241, y=13, z=-145}
